Stop_ID	X_FRT	X_DRT
0	1	1
7	1	1
9	1	1
98	1	1
81	1	1
22	1	1
92	1	1
94	1	1
93	1	1
107	1	1
119	1	1
120	1	1
118	1	1
130	1	0
136	1	0
137	1	0
14	1	0
3	1	0
15	1	0
121	1	0
2	1	0
13	1	0
79	1	0
139	1	0
138	1	0
129	1	0
141	1	1
134	1	1
133	1	1
132	1	1
131	1	1
140	1	1
135	1	1
128	1	1
127	1	1
97	1	1
5	1	1
100	1	1
82	1	1
36	1	1
38	1	1
37	1	1
32	1	1
24	1	1
77	1	1
35	1	1
145	1	1
144	1	1
74	1	1
76	1	1
71	1	1
30	1	1
103	1	1
169	1	1
0	1	1
