Line_ID	Veh_ID	T_h	T_m
"01"	1	6	25
"01"	1	7	20
"01"	1	8	15
"01"	1	9	10
"01"	1	10	5
"01"	1	11	0
"01"	1	11	55
"01"	1	12	50
"01"	1	13	45
"01"	1	14	40
"01"	1	15	35
"01"	1	16	30
"01"	1	17	25
"01"	1	18	20
"01"	1	19	15
"01"	1	20	10
"02"	2	6	50
"02"	2	7	25
"02"	2	8	0
"02"	2	8	35
"02"	2	9	10
"02"	2	9	45
"02"	2	10	20
"02"	2	10	55
"02"	2	11	30
"02"	2	12	5
"02"	2	12	40
"02"	2	13	15
"02"	2	13	50
"02"	2	14	25
"02"	2	15	0
"02"	2	15	35
"02"	2	16	10
"02"	2	16	45
"02"	2	17	20
"02"	2	17	55
"02"	2	18	30
"02"	2	19	5
"02"	2	19	40
"02"	2	20	15
"03"	3	7	0
"03"	3	7	55
"03"	3	8	50
"03"	3	9	45
"03"	3	10	40
"03"	3	11	35
"03"	3	12	30
"03"	3	13	25
"03"	3	14	20
"03"	3	15	15
"03"	3	16	10
"03"	3	17	5
"03"	3	18	0
"03"	3	18	55
"03"	3	19	50
"04"	4	6	50
"04"	4	7	25
"04"	4	8	0
"04"	4	8	35
"04"	4	9	10
"04"	4	9	45
"04"	4	10	20
"04"	4	10	55
"04"	4	11	30
"04"	4	12	5
"04"	4	12	40
"04"	4	13	15
"04"	4	13	50
"04"	4	14	25
"04"	4	15	0
"04"	4	15	35
"04"	4	16	10
"04"	4	16	45
"04"	4	17	20
"04"	4	17	55
"04"	4	18	30
"04"	4	19	5
"04"	4	19	40
"04"	4	20	15
"05"	3	6	30
"05"	3	7	25
"05"	3	8	20
"05"	3	9	15
"05"	3	10	10
"05"	3	11	5
"05"	3	12	0
"05"	3	12	55
"05"	3	13	50
"05"	3	14	45
"05"	3	15	40
"05"	3	16	35
"05"	3	17	30
"05"	3	18	25
"05"	3	19	20
"05"	3	20	15
"06"	5	6	50
"06"	5	7	25
"06"	5	8	0
"06"	5	8	35
"06"	5	9	10
"06"	5	9	45
"06"	5	10	20
"06"	5	10	55
"06"	5	11	30
"06"	5	12	5
"06"	5	12	40
"06"	5	13	15
"06"	5	13	50
"06"	5	14	25
"06"	5	15	0
"06"	5	15	35
"06"	5	16	10
"06"	5	16	45
"06"	5	17	20
"06"	5	17	55
"06"	5	18	30
"06"	5	19	5
"06"	5	19	40
"06"	5	20	15
